Word,Mean,Type,Gender,Vachana,Viphat,ID,Category,Read,Note
"วิกตฺถติ","คุยโต","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",762,"กิริยาอาขยาต","วิ-กัด-ถะ-ติ",
"วิยูหติ","คุ้ยออก(-ดิน)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",763,"กิริยาอาขยาต","วิ-ยู-หะ-ติ",
"สมฺมิญฺเชติ","คู้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",764,"กิริยาอาขยาต","สัม-มิน-เช-ติ",
"ฆฏฺเฏติ","แคะ (-เล็บ)","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",765,"กิริยาอาขยาต","คัด-เต-ติ",
"นิปฺปีเฬติ","แค่น ไค้","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",766,"กิริยาอาขยาต","นิบ-ปี-เร-ติ",
"ขาทติ","เคี้ยวกิน","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",767,"กิริยาอาขยาต","ขา-ทะ-ติ",
"ดรสติ,โรเสติ","เคือง","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",768,"กิริยาอาขยาต","ดะ-ระ-สะ-ติ,โร-เส-ติ",
"อาโกเฏติ","เคาะ,ทุบ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",769,"กิริยาอาขยาต","อา-โก-เต-ติ",
"อภิวาเทติ","คำนับ","คำกิริยาอาขยาต","ไม่มี","ไม่มี","ไม่มี",770,"กิริยาอาขยาต","อะ-ภิ-วา-เท-ติ",
"คชฺชติ","คำรน(ฟ้า)","คำกิริยาอาขยาต","ไม่มี",,,771,"กิริยาอาขยาต","คัด-ชะ-ติ",
"อุปตฺถมฺเภติ","คำราม","คำกิริยาอาขยาต",,,,772,"กิริยาอาขยาต","อุบ-ปัด-ถัม-เภ-ติ",
"อฏฺฐารส, อฏฺฐาทส","๑๘ (สิบแปด)","สังขยา","ติลิงคิก","พหุวจนะ","ไม่มี",497,"ปกติสังขยา",,
"คเณติ","คำนึงถึง(-ความลำบาก)","คำกิริยาอาขยาต",,,,773,"กิริยาอาขยาต","คะ-เน-ติ",
"ครุกโรติ","เคารพ","คำกิริยาอาขยาต",,,,774,"กิริยาอาขยาต","คะ-รุ-กะ-โร-ติ",
"ฆาเตติ, มาเรติ, วมติ","ฆ่า","คำกิริยาอาขยาต",,,,775,"กิริยาอาขยาต","คา-เร-ติ, มา-เร-ติ, วะ-มะ-ติ",
"ตาเฬติ","เฆี่ยน","คำกิริยาอาขยาต",,,,776,"กิริยาอาขยาต","ตา-เร-ติ",
"โฆสติ","โฆษณา","คำกิริยาอาขยาต",,,,777,"กิริยาอาขยาต","โค-สะ-ติ",
"โอรมติ","งด","คำกิริยาอาขยาต",,,,778,"กิริยาอาขยาต","โอ-ระ-มะ-ติ",
"ปฏิวิรติ","งดเว้น(จาก)","คำกิริยาอาขยาต",,,,779,"กิริยาอาขยาต","ปะ-ติ-วิ-ระ-ติ",
"รูหติ, วิรูหติ","งอกขึ้น","คำกิริยาอาขยาต",,,,780,"กิริยาอาขยาต","รู-หะ-ติ, วิ-รู-หะ-ติ",
"วิรูหติ","งอกงาม","คำกิริยาอาขยาต",,,,781,"กิริยาอาขยาต","วิ-รู-หะ-ติ",
"ปฏิกุชฺชติ","งอเข้า","คำกิริยาอาขยาต",,,,782,"กิริยาอาขยาต","ปะ-ติ-กุด-ชะ-ติ",
"โสภติ","งาม","คำกิริยาอาขยาต",,,,783,"กิริยาอาขยาต","โส-ภะ-ติ",
"โอทหติ","เงี่ย(-หู)","คำกิริยาอาขยาต",,,,784,"กิริยาอาขยาต","โอ-ทะ-หะ-ติ",
"อุคฺคิรติ","เงื้อ","คำกิริยาอาขยาต",,,,785,"กิริยาอาขยาต","อุก-คิ-ระ-ติ",
"จงฺกมติ","จรงกรม(เดินไปมา)","คำกิริยาอาขยาต",,,,786,"กิริยาอาขยาต","จัง-กะ-มะ-ติ",
"ภชติ,ภเชติ","จงรัก","คำกิริยาอาขยาต",,,,787,"กิริยาอาขยาต","ภะ-ชะ-ติ,ภะ-เช-ติ",
"ภสฺสติ","จมดิ่งลง","คำกิริยาอาขยาต",,,,788,"กิริยาอาขยาต","ภัส-สะ-ติ",
"โอสีทติ","จมลง","คำกิริยาอาขยาต",,,,789,"กิริยาอาขยาต","โอ-สี-ทะ-ติ",
"อุปนยฺหติ","จอง(-เวร)","คำกิริยาอาขยาต",,,,790,"กิริยาอาขยาต","อุ-ปะ-นัย-หะ-ติ",
"อาโลเกติ","จ้องดู","คำกิริยาอาขยาต",,,,791,"กิริยาอาขยาต","อา-โล-เก-ติ",
"โมเจติ","จอด(-เกวียน)","คำกิริยาอาขยาต",,,,792,"กิริยาอาขยาต","โม-เจ-ติ",
"ลปติ","เจรจา","คำกิริยาอาขยาต",,,,793,"กิริยาอาขยาต","ละ-ปะ-ติ",
